iso_code,name_fr,continent,date,new_cases_smoothed_per_million
FRA,France,Europe,2020-01-29,0.011
FRA,France,Europe,2020-01-30,0.011
FRA,France,Europe,2020-01-31,0.006
FRA,France,Europe,2020-02-01,0.006
FRA,France,Europe,2020-02-02,0.006
FRA,France,Europe,2020-02-03,0.006
FRA,France,Europe,2020-02-04,0.004
FRA,France,Europe,2020-02-05,0.002
FRA,France,Europe,2020-02-06,0.002
FRA,France,Europe,2020-02-07,0.002
FRA,France,Europe,2020-02-08,0.011
FRA,France,Europe,2020-02-09,0.011
FRA,France,Europe,2020-02-10,0.011
FRA,France,Europe,2020-02-11,0.011
FRA,France,Europe,2020-02-12,0.011
FRA,France,Europe,2020-02-13,0.011
FRA,France,Europe,2020-02-14,0.011
FRA,France,Europe,2020-02-15,0.002
FRA,France,Europe,2020-02-16,0.002
FRA,France,Europe,2020-02-17,0.002
FRA,France,Europe,2020-02-18,0.002
FRA,France,Europe,2020-02-19,0.002
FRA,France,Europe,2020-02-20,0.002
FRA,France,Europe,2020-02-21,0.002
FRA,France,Europe,2020-02-25,0.004
FRA,France,Europe,2020-02-26,0.013
FRA,France,Europe,2020-02-27,0.055
FRA,France,Europe,2020-02-28,0.095
FRA,France,Europe,2020-02-29,0.186
FRA,France,Europe,2020-03-01,0.249
FRA,France,Europe,2020-03-02,0.378
FRA,France,Europe,2020-03-03,0.419
FRA,France,Europe,2020-03-04,0.571
FRA,France,Europe,2020-03-05,0.82
FRA,France,Europe,2020-03-06,1.182
FRA,France,Europe,2020-03-07,1.793
FRA,France,Europe,2020-03-08,2.104
FRA,France,Europe,2020-03-09,2.58
FRA,France,Europe,2020-03-10,3.322
FRA,France,Europe,2020-03-11,4.239
FRA,France,Europe,2020-03-12,3.948
FRA,France,Europe,2020-03-13,6.481
FRA,France,Europe,2020-03-14,7.502
FRA,France,Europe,2020-03-15,7.204
FRA,France,Europe,2020-03-16,11.147
FRA,France,Europe,2020-03-17,12.543
FRA,France,Europe,2020-03-18,14.443
FRA,France,Europe,2020-03-19,18.347
FRA,France,Europe,2020-03-20,19.192
FRA,France,Europe,2020-03-21,21.074
FRA,France,Europe,2020-03-22,25.851
FRA,France,Europe,2020-03-23,28.417
FRA,France,Europe,2020-03-24,30.991
FRA,France,Europe,2020-03-25,34.274
FRA,France,Europe,2020-03-26,38.655
FRA,France,Europe,2020-03-27,42.899
FRA,France,Europe,2020-03-28,49.115
FRA,France,Europe,2020-03-29,49.766
FRA,France,Europe,2020-03-30,51.858
FRA,France,Europe,2020-03-31,63.233
FRA,France,Europe,2020-04-01,67.212
FRA,France,Europe,2020-04-02,63.381
FRA,France,Europe,2020-04-03,66.402
FRA,France,Europe,2020-04-04,20.48
FRA,France,Europe,2020-04-05,16.784
FRA,France,Europe,2020-04-06,13.19
FRA,France,Europe,2020-04-11,22.554
FRA,France,Europe,2020-04-12,128.043
FRA,France,Europe,2020-04-13,129.073
FRA,France,Europe,2020-04-14,173.346
FRA,France,Europe,2020-04-15,171.978
FRA,France,Europe,2020-04-16,190.572
FRA,France,Europe,2020-04-17,191.261
FRA,France,Europe,2020-04-18,196.253
FRA,France,Europe,2020-04-19,91.266
FRA,France,Europe,2020-04-20,89.798
FRA,France,Europe,2020-04-21,58.543
FRA,France,Europe,2020-04-22,55.566
FRA,France,Europe,2020-04-23,25.356
FRA,France,Europe,2020-04-24,27.301
FRA,France,Europe,2020-04-25,22.802
FRA,France,Europe,2020-04-26,21.831
FRA,France,Europe,2020-04-27,24.451
FRA,France,Europe,2020-04-28,25.436
FRA,France,Europe,2020-04-29,18.554
FRA,France,Europe,2020-04-30,24.745
FRA,France,Europe,2020-05-01,19.913
FRA,France,Europe,2020-05-02,18.04
FRA,France,Europe,2020-05-03,17.465
FRA,France,Europe,2020-05-04,10.86
FRA,France,Europe,2020-05-05,6.599
FRA,France,Europe,2020-05-06,18.421
FRA,France,Europe,2020-05-07,17.412
FRA,France,Europe,2020-05-08,17.423
FRA,France,Europe,2020-05-09,16.866
FRA,France,Europe,2020-05-10,16.63
FRA,France,Europe,2020-05-11,16.105
FRA,France,Europe,2020-05-12,15.336
FRA,France,Europe,2020-05-13,7.692
FRA,France,Europe,2020-05-14,7.483
FRA,France,Europe,2020-05-15,7.445
FRA,France,Europe,2020-05-16,7.204
FRA,France,Europe,2020-05-17,6.973
FRA,France,Europe,2020-05-18,7.248
FRA,France,Europe,2020-05-19,6.715
FRA,France,Europe,2020-05-20,6.633
FRA,France,Europe,2020-05-21,5.84
FRA,France,Europe,2020-05-22,6.354
FRA,France,Europe,2020-05-23,6.631
FRA,France,Europe,2020-05-24,5.406
FRA,France,Europe,2020-05-25,5.155
FRA,France,Europe,2020-05-26,4.635
FRA,France,Europe,2020-05-27,3.979
FRA,France,Europe,2020-05-28,10.483
FRA,France,Europe,2020-05-29,10.141
FRA,France,Europe,2020-05-30,12.781
FRA,France,Europe,2020-05-31,14.198
FRA,France,Europe,2020-06-01,14.372
FRA,France,Europe,2020-06-02,12.464
FRA,France,Europe,2020-06-03,5.28
FRA,France,Europe,2020-06-04,7.43
FRA,France,Europe,2020-06-05,7.402
FRA,France,Europe,2020-06-06,4.817
FRA,France,Europe,2020-06-07,5.049
FRA,France,Europe,2020-06-08,4.768
FRA,France,Europe,2020-06-09,7.305
FRA,France,Europe,2020-06-10,15.448
FRA,France,Europe,2020-06-11,6.999
FRA,France,Europe,2020-06-12,7.466
FRA,France,Europe,2020-06-13,7.307
FRA,France,Europe,2020-06-14,7.411
FRA,France,Europe,2020-06-15,7.119
FRA,France,Europe,2020-06-16,7.352
FRA,France,Europe,2020-06-17,7.062
FRA,France,Europe,2020-06-18,7.531
FRA,France,Europe,2020-06-19,7.5
FRA,France,Europe,2020-06-20,7.758
FRA,France,Europe,2020-06-21,7.658
FRA,France,Europe,2020-06-22,7.671
FRA,France,Europe,2020-06-23,7.745
FRA,France,Europe,2020-06-24,7.28
FRA,France,Europe,2020-06-25,6.58
FRA,France,Europe,2020-06-26,7.586
FRA,France,Europe,2020-06-27,7.225
FRA,France,Europe,2020-06-28,5.641
FRA,France,Europe,2020-06-29,6.705
FRA,France,Europe,2020-06-30,6.161
FRA,France,Europe,2020-07-01,7.688
FRA,France,Europe,2020-07-02,8.288
FRA,France,Europe,2020-07-03,6.758
FRA,France,Europe,2020-07-04,6.567
FRA,France,Europe,2020-07-05,7.449
FRA,France,Europe,2020-07-06,8.238
FRA,France,Europe,2020-07-07,8.265
FRA,France,Europe,2020-07-08,7.91
FRA,France,Europe,2020-07-09,7.709
FRA,France,Europe,2020-07-10,8.081
FRA,France,Europe,2020-07-11,7.855
FRA,France,Europe,2020-07-12,7.866
FRA,France,Europe,2020-07-13,8.722
FRA,France,Europe,2020-07-14,7.893
FRA,France,Europe,2020-07-15,7.692
FRA,France,Europe,2020-07-16,7.956
FRA,France,Europe,2020-07-17,8.197
FRA,France,Europe,2020-07-18,8.011
FRA,France,Europe,2020-07-19,7.986
FRA,France,Europe,2020-07-20,9.018
FRA,France,Europe,2020-07-21,10.145
FRA,France,Europe,2020-07-22,10.555
FRA,France,Europe,2020-07-23,11.965
FRA,France,Europe,2020-07-24,12.519
FRA,France,Europe,2020-07-25,12.361
FRA,France,Europe,2020-07-26,12.352
FRA,France,Europe,2020-07-27,13.572
FRA,France,Europe,2020-07-28,13.507
FRA,France,Europe,2020-07-29,14.668
FRA,France,Europe,2020-07-30,14.991
FRA,France,Europe,2020-07-31,15.45
FRA,France,Europe,2020-08-01,15.397
FRA,France,Europe,2020-08-02,15.403
FRA,France,Europe,2020-08-03,17.247
FRA,France,Europe,2020-08-04,18.108
FRA,France,Europe,2020-08-05,18.611
FRA,France,Europe,2020-08-06,19.059
FRA,France,Europe,2020-08-07,21.341
FRA,France,Europe,2020-08-08,21.355
FRA,France,Europe,2020-08-09,21.423
FRA,France,Europe,2020-08-10,24.322
FRA,France,Europe,2020-08-11,25.258
FRA,France,Europe,2020-08-12,27.14
FRA,France,Europe,2020-08-13,29.418
FRA,France,Europe,2020-08-14,30.551
FRA,France,Europe,2020-08-15,37.19
FRA,France,Europe,2020-08-16,43.466
FRA,France,Europe,2020-08-17,34.837
FRA,France,Europe,2020-08-18,36.327
FRA,France,Europe,2020-08-19,38.81
FRA,France,Europe,2020-08-20,43.296
FRA,France,Europe,2020-08-21,47.707
FRA,France,Europe,2020-08-22,48.265
FRA,France,Europe,2020-08-23,51.811
FRA,France,Europe,2020-08-24,54.615
FRA,France,Europe,2020-08-25,57.78
FRA,France,Europe,2020-08-26,50.411
FRA,France,Europe,2020-08-27,63.95
FRA,France,Europe,2020-08-28,69.515
FRA,France,Europe,2020-08-29,73.714
FRA,France,Europe,2020-08-30,75.164
FRA,France,Europe,2020-08-31,77.568
FRA,France,Europe,2020-09-01,80.715
FRA,France,Europe,2020-09-02,95.148
FRA,France,Europe,2020-09-03,86.519
FRA,France,Europe,2020-09-04,89.041
FRA,France,Europe,2020-09-05,95.668
FRA,France,Europe,2020-09-06,99.156
FRA,France,Europe,2020-09-07,101.594
FRA,France,Europe,2020-09-08,105.049
FRA,France,Europe,2020-09-09,108.233
FRA,France,Europe,2020-09-10,113.815
FRA,France,Europe,2020-09-11,115.243
FRA,France,Europe,2020-09-12,121.042
FRA,France,Europe,2020-09-13,119.624
FRA,France,Europe,2020-09-14,124.127
FRA,France,Europe,2020-09-15,126.428
FRA,France,Europe,2020-09-16,129.752
FRA,France,Europe,2020-09-17,130.76
FRA,France,Europe,2020-09-18,138.634
FRA,France,Europe,2020-09-19,143.334
FRA,France,Europe,2020-09-20,152.196
FRA,France,Europe,2020-09-21,150.384
FRA,France,Europe,2020-09-22,155.158
FRA,France,Europe,2020-09-23,161.713
FRA,France,Europe,2020-09-24,173.577
FRA,France,Europe,2020-09-25,179.647
FRA,France,Europe,2020-09-26,181.042
FRA,France,Europe,2020-09-27,181.252
FRA,France,Europe,2020-09-28,178.63
FRA,France,Europe,2020-09-29,174.234
FRA,France,Europe,2020-09-30,176.507
FRA,France,Europe,2020-10-01,170.589
FRA,France,Europe,2020-10-02,162.833
FRA,France,Europe,2020-10-03,167.629
FRA,France,Europe,2020-10-04,171.581
FRA,France,Europe,2020-10-05,174.414
FRA,France,Europe,2020-10-06,181.402
FRA,France,Europe,2020-10-07,191.101
FRA,France,Europe,2020-10-08,200.3
FRA,France,Europe,2020-10-09,218.594
FRA,France,Europe,2020-10-10,240.138
FRA,France,Europe,2020-10-11,247.396
FRA,France,Europe,2020-10-12,254.951
FRA,France,Europe,2020-10-13,259.848
FRA,France,Europe,2020-10-14,268.409
FRA,France,Europe,2020-10-15,294.532
FRA,France,Europe,2020-10-16,304.14
FRA,France,Europe,2020-10-17,315.615
FRA,France,Europe,2020-10-18,345.005
FRA,France,Europe,2020-10-19,355.74
FRA,France,Europe,2020-10-20,370.012
FRA,France,Europe,2020-10-21,379.357
FRA,France,Europe,2020-10-22,402.734
FRA,France,Europe,2020-10-23,439.112
FRA,France,Europe,2020-10-24,466.94
FRA,France,Europe,2020-10-25,417.841
FRA,France,Europe,2020-10-26,542
FRA,France,Europe,2020-10-27,571.826
FRA,France,Europe,2020-10-28,593.241
FRA,France,Europe,2020-10-29,605.502
FRA,France,Europe,2020-10-30,619.535
FRA,France,Europe,2020-10-31,597.979
FRA,France,Europe,2020-11-01,681.631
FRA,France,Europe,2020-11-02,751.577
FRA,France,Europe,2020-11-03,832.175
FRA,France,Europe,2020-11-04,655.357
FRA,France,Europe,2020-11-05,679.026
FRA,France,Europe,2020-11-06,703.295
FRA,France,Europe,2020-11-07,812.365
FRA,France,Europe,2020-11-08,796.26
FRA,France,Europe,2020-11-09,617.241
FRA,France,Europe,2020-11-10,511.547
FRA,France,Europe,2020-11-11,685.946
FRA,France,Europe,2020-11-12,632.71
FRA,France,Europe,2020-11-13,554.716
FRA,France,Europe,2020-11-14,439.064
FRA,France,Europe,2020-11-15,415.023
FRA,France,Europe,2020-11-16,390.974
FRA,France,Europe,2020-11-17,439.582
FRA,France,Europe,2020-11-18,423.705
FRA,France,Europe,2020-11-19,398.56
FRA,France,Europe,2020-11-20,396.867
FRA,France,Europe,2020-11-21,366.658
FRA,France,Europe,2020-11-22,336.926
FRA,France,Europe,2020-11-23,326.379
FRA,France,Europe,2020-11-24,250.936
FRA,France,Europe,2020-11-25,225.261
FRA,France,Europe,2020-11-26,208.906
FRA,France,Europe,2020-11-27,186.726
FRA,France,Europe,2020-11-28,175.746
FRA,France,Europe,2020-11-29,168.627
FRA,France,Europe,2020-11-30,167.13
FRA,France,Europe,2020-12-01,163.838
FRA,France,Europe,2020-12-02,158.497
FRA,France,Europe,2020-12-03,158.044
FRA,France,Europe,2020-12-04,155.374
FRA,France,Europe,2020-12-05,156.23
FRA,France,Europe,2020-12-06,158.738
FRA,France,Europe,2020-12-07,156.744
FRA,France,Europe,2020-12-08,168.739
FRA,France,Europe,2020-12-09,169.684
FRA,France,Europe,2020-12-10,171.978
FRA,France,Europe,2020-12-11,176.16
FRA,France,Europe,2020-12-12,178.412
FRA,France,Europe,2020-12-13,179.647
FRA,France,Europe,2020-12-14,179.184
FRA,France,Europe,2020-12-15,174.147
FRA,France,Europe,2020-12-16,180.586
FRA,France,Europe,2020-12-17,190.156
FRA,France,Europe,2020-12-18,195.475
FRA,France,Europe,2020-12-19,202.835
FRA,France,Europe,2020-12-20,205.512
FRA,France,Europe,2020-12-21,211.365
FRA,France,Europe,2020-12-22,211.801
FRA,France,Europe,2020-12-23,206.13
FRA,France,Europe,2020-12-24,213.149
FRA,France,Europe,2020-12-25,222.15
FRA,France,Europe,2020-12-26,191.841
FRA,France,Europe,2020-12-27,183.432
FRA,France,Europe,2020-12-28,177.397
FRA,France,Europe,2020-12-29,176.621
FRA,France,Europe,2020-12-30,200.886
FRA,France,Europe,2020-12-31,197.342
FRA,France,Europe,2021-01-01,195.41
FRA,France,Europe,2021-01-02,196.198
FRA,France,Europe,2021-01-03,203.965
FRA,France,Europe,2021-01-04,206.032
FRA,France,Europe,2021-01-05,225.762
FRA,France,Europe,2021-01-06,223.051
FRA,France,Europe,2021-01-07,226.698
FRA,France,Europe,2021-01-08,227.781
FRA,France,Europe,2021-01-09,263.115
FRA,France,Europe,2021-01-10,270.407
FRA,France,Europe,2021-01-11,269.841
FRA,France,Europe,2021-01-12,267.42
FRA,France,Europe,2021-01-13,264.671
FRA,France,Europe,2021-01-14,263.96
FRA,France,Europe,2021-01-15,267.041
FRA,France,Europe,2021-01-16,269.646
FRA,France,Europe,2021-01-17,271.122
FRA,France,Europe,2021-01-18,271.084
FRA,France,Europe,2021-01-19,279.996
FRA,France,Europe,2021-01-20,286.223
FRA,France,Europe,2021-01-21,288.927
FRA,France,Europe,2021-01-22,293.171
FRA,France,Europe,2021-01-23,298.488
FRA,France,Europe,2021-01-24,302.282
FRA,France,Europe,2021-01-25,303.343
FRA,France,Europe,2021-01-26,299.639
FRA,France,Europe,2021-01-27,299.795
FRA,France,Europe,2021-01-28,302.43
FRA,France,Europe,2021-01-29,302.241
FRA,France,Europe,2021-01-30,302.497
FRA,France,Europe,2021-01-31,304.187
FRA,France,Europe,2021-02-01,304.373
FRA,France,Europe,2021-02-02,306.897
FRA,France,Europe,2021-02-03,305.745
FRA,France,Europe,2021-02-04,255.135
FRA,France,Europe,2021-02-05,302.438
FRA,France,Europe,2021-02-06,295.129
FRA,France,Europe,2021-02-07,296.144
FRA,France,Europe,2021-02-08,296.048
FRA,France,Europe,2021-02-09,286.637
FRA,France,Europe,2021-02-10,285.098
FRA,France,Europe,2021-02-11,329.619
FRA,France,Europe,2021-02-12,276.974
FRA,France,Europe,2021-02-13,278.334
FRA,France,Europe,2021-02-14,271.634
FRA,France,Europe,2021-02-15,271.767
FRA,France,Europe,2021-02-16,273.268
FRA,France,Europe,2021-02-17,272.228
FRA,France,Europe,2021-02-18,275.277
FRA,France,Europe,2021-02-19,282.504
FRA,France,Europe,2021-02-20,284.914
FRA,France,Europe,2021-02-21,296.543
FRA,France,Europe,2021-02-22,297.067
FRA,France,Europe,2021-02-23,298.302
FRA,France,Europe,2021-02-24,311.71
FRA,France,Europe,2021-02-25,317.833
FRA,France,Europe,2021-02-26,320.135
FRA,France,Europe,2021-02-27,323.571
FRA,France,Europe,2021-02-28,319.144
FRA,France,Europe,2021-03-01,319.305
FRA,France,Europe,2021-03-02,324.996
FRA,France,Europe,2021-03-03,315.22
FRA,France,Europe,2021-03-04,314.949
FRA,France,Europe,2021-03-05,311.335
FRA,France,Europe,2021-03-06,309.876
FRA,France,Europe,2021-03-07,313.858
FRA,France,Europe,2021-03-08,315.558
FRA,France,Europe,2021-03-09,316.131
FRA,France,Europe,2021-03-10,321.99
FRA,France,Europe,2021-03-11,328.001
FRA,France,Europe,2021-03-12,331.532
FRA,France,Europe,2021-03-13,345.246
FRA,France,Europe,2021-03-14,354.786
FRA,France,Europe,2021-03-15,356.767
FRA,France,Europe,2021-03-16,371.405
FRA,France,Europe,2021-03-17,390.069
FRA,France,Europe,2021-03-18,404.726
FRA,France,Europe,2021-03-19,425.914
FRA,France,Europe,2021-03-20,437.643
FRA,France,Europe,2021-03-21,446.608
FRA,France,Europe,2021-03-22,466.36
FRA,France,Europe,2021-03-23,433.864
FRA,France,Europe,2021-03-24,490.722
FRA,France,Europe,2021-03-25,513.133
FRA,France,Europe,2021-03-26,527.242
FRA,France,Europe,2021-03-27,542.667
FRA,France,Europe,2021-03-28,556.271
FRA,France,Europe,2021-03-29,542.098
FRA,France,Europe,2021-03-30,575.975
FRA,France,Europe,2021-03-31,562.573
FRA,France,Europe,2021-04-01,573.253
FRA,France,Europe,2021-04-02,583.417
FRA,France,Europe,2021-04-03,493.458
FRA,France,Europe,2021-04-04,585.663
FRA,France,Europe,2021-04-05,589.23
FRA,France,Europe,2021-04-06,541.307
FRA,France,Europe,2021-04-07,418.474
FRA,France,Europe,2021-04-08,516.706
FRA,France,Europe,2021-04-09,418.347
FRA,France,Europe,2021-04-10,421.06
FRA,France,Europe,2021-04-11,499.865
FRA,France,Europe,2021-04-12,495.124
FRA,France,Europe,2021-04-13,560.821
FRA,France,Europe,2021-04-14,650.782
FRA,France,Europe,2021-04-15,525.844
FRA,France,Europe,2021-04-16,602.58
FRA,France,Europe,2021-04-17,675.528
FRA,France,Europe,2021-04-18,488.289
FRA,France,Europe,2021-04-19,484.383
FRA,France,Europe,2021-04-20,494.852
FRA,France,Europe,2021-04-21,476.704
FRA,France,Europe,2021-04-22,466.902
FRA,France,Europe,2021-04-23,458.209
FRA,France,Europe,2021-04-24,451.38
FRA,France,Europe,2021-04-25,441.062
FRA,France,Europe,2021-04-26,439.478
FRA,France,Europe,2021-04-27,410.399
FRA,France,Europe,2021-04-28,403.332
FRA,France,Europe,2021-04-29,388.75
FRA,France,Europe,2021-04-30,371.754
FRA,France,Europe,2021-05-01,357.013
FRA,France,Europe,2021-05-02,326.191
FRA,France,Europe,2021-05-03,321.556
FRA,France,Europe,2021-05-04,308.984
FRA,France,Europe,2021-05-05,297.19
FRA,France,Europe,2021-05-06,287.028
FRA,France,Europe,2021-05-07,276.11
FRA,France,Europe,2021-05-08,265.696
FRA,France,Europe,2021-05-09,264.089
FRA,France,Europe,2021-05-10,263.1
FRA,France,Europe,2021-05-11,253.403
FRA,France,Europe,2021-05-12,243.876
FRA,France,Europe,2021-05-13,239.053
FRA,France,Europe,2021-05-14,213.479
FRA,France,Europe,2021-05-15,202.781
FRA,France,Europe,2021-05-16,212.972
FRA,France,Europe,2021-05-17,213.082
FRA,France,Europe,2021-05-18,207.652
FRA,France,Europe,2021-05-19,202.491
FRA,France,Europe,2021-05-20,161.343
FRA,France,Europe,2021-05-21,173.522
FRA,France,Europe,2021-05-22,167.022
FRA,France,Europe,2021-05-23,158.049
FRA,France,Europe,2021-05-24,155.678
FRA,France,Europe,2021-05-25,125.933
FRA,France,Europe,2021-05-26,112.401
FRA,France,Europe,2021-05-27,141.861
FRA,France,Europe,2021-05-28,138.628
FRA,France,Europe,2021-05-29,136.336
FRA,France,Europe,2021-05-30,133.877
FRA,France,Europe,2021-05-31,129.944
FRA,France,Europe,2021-06-01,144.106
FRA,France,Europe,2021-06-02,120.207
FRA,France,Europe,2021-06-03,123.91
FRA,France,Europe,2021-06-04,114.784
FRA,France,Europe,2021-06-05,104.48
FRA,France,Europe,2021-06-06,97.141
FRA,France,Europe,2021-06-07,98.841
FRA,France,Europe,2021-06-08,90.739
FRA,France,Europe,2021-06-09,99.651
FRA,France,Europe,2021-06-10,75.968
FRA,France,Europe,2021-06-11,69.458
FRA,France,Europe,2021-06-12,63.787
FRA,France,Europe,2021-06-13,59.104
FRA,France,Europe,2021-06-14,58.097
FRA,France,Europe,2021-06-15,52.223
FRA,France,Europe,2021-06-16,46.927
FRA,France,Europe,2021-06-17,41.977
FRA,France,Europe,2021-06-18,40.514
FRA,France,Europe,2021-06-19,37.664
FRA,France,Europe,2021-06-20,35.467
FRA,France,Europe,2021-06-21,35.04
FRA,France,Europe,2021-06-22,32.862
FRA,France,Europe,2021-06-23,31.31
FRA,France,Europe,2021-06-24,31.329
FRA,France,Europe,2021-06-25,28.794
FRA,France,Europe,2021-06-26,27.745
FRA,France,Europe,2021-06-27,27.242
FRA,France,Europe,2021-06-28,27.288
FRA,France,Europe,2021-06-29,29.788
FRA,France,Europe,2021-06-30,27.779
FRA,France,Europe,2021-07-01,28.864
FRA,France,Europe,2021-07-02,30.341
FRA,France,Europe,2021-07-03,32.198
FRA,France,Europe,2021-07-04,34.251
FRA,France,Europe,2021-07-05,34.851
ESP,Espagne,Europe,2020-02-06,0.003
ESP,Espagne,Europe,2020-02-07,0.003
ESP,Espagne,Europe,2020-02-09,0.003
ESP,Espagne,Europe,2020-02-10,0.003
ESP,Espagne,Europe,2020-02-11,0.003
ESP,Espagne,Europe,2020-02-12,0.003
ESP,Espagne,Europe,2020-02-13,0.003
ESP,Espagne,Europe,2020-02-14,0.003
ESP,Espagne,Europe,2020-02-15,0.003
ESP,Espagne,Europe,2020-02-25,0.012
ESP,Espagne,Europe,2020-02-26,0.034
ESP,Espagne,Europe,2020-02-27,0.04
ESP,Espagne,Europe,2020-02-28,0.092
ESP,Espagne,Europe,2020-02-29,0.131
ESP,Espagne,Europe,2020-03-01,0.251
ESP,Espagne,Europe,2020-03-02,0.361
ESP,Espagne,Europe,2020-03-03,0.486
ESP,Espagne,Europe,2020-03-04,0.639
ESP,Espagne,Europe,2020-03-05,0.746
ESP,Espagne,Europe,2020-03-06,1.124
ESP,Espagne,Europe,2020-03-07,1.39
ESP,Espagne,Europe,2020-03-08,1.8
ESP,Espagne,Europe,2020-03-09,2.912
ESP,Espagne,Europe,2020-03-10,4.675
ESP,Espagne,Europe,2020-03-11,6.279
ESP,Espagne,Europe,2020-03-12,6.166
ESP,Espagne,Europe,2020-03-13,14.764
ESP,Espagne,Europe,2020-03-14,18
ESP,Espagne,Europe,2020-03-15,21.77
ESP,Espagne,Europe,2020-03-16,27.099
ESP,Espagne,Europe,2020-03-17,30.716
ESP,Espagne,Europe,2020-03-18,35.544
ESP,Espagne,Europe,2020-03-19,47.928
ESP,Espagne,Europe,2020-03-20,46.376
ESP,Espagne,Europe,2020-03-21,58.002
ESP,Espagne,Europe,2020-03-22,64.073
ESP,Espagne,Europe,2020-03-23,76.979
ESP,Espagne,Europe,2020-03-24,85.971
ESP,Espagne,Europe,2020-03-25,108.789
ESP,Espagne,Europe,2020-03-26,121.677
ESP,Espagne,Europe,2020-03-27,138.44
ESP,Espagne,Europe,2020-03-28,146.237
