iso_code,name_fr,continent,date,new_deaths_smoothed_per_million
ARG,Argentine,South America,2020-03-08,0.003
ARG,Argentine,South America,2020-03-09,0.003
ARG,Argentine,South America,2020-03-10,0.003
ARG,Argentine,South America,2020-03-11,0.003
ARG,Argentine,South America,2020-03-12,0.003
ARG,Argentine,South America,2020-03-13,0.006
ARG,Argentine,South America,2020-03-14,0.006
ARG,Argentine,South America,2020-03-15,0.003
ARG,Argentine,South America,2020-03-16,0.003
ARG,Argentine,South America,2020-03-17,0.003
ARG,Argentine,South America,2020-03-18,0.003
ARG,Argentine,South America,2020-03-19,0.006
ARG,Argentine,South America,2020-03-20,0.003
ARG,Argentine,South America,2020-03-21,0.006
ARG,Argentine,South America,2020-03-22,0.006
ARG,Argentine,South America,2020-03-23,0.006
ARG,Argentine,South America,2020-03-24,0.013
ARG,Argentine,South America,2020-03-25,0.019
ARG,Argentine,South America,2020-03-26,0.019
ARG,Argentine,South America,2020-03-27,0.032
ARG,Argentine,South America,2020-03-28,0.044
ARG,Argentine,South America,2020-03-29,0.047
ARG,Argentine,South America,2020-03-30,0.06
ARG,Argentine,South America,2020-03-31,0.066
ARG,Argentine,South America,2020-04-01,0.063
ARG,Argentine,South America,2020-04-02,0.085
ARG,Argentine,South America,2020-04-03,0.082
ARG,Argentine,South America,2020-04-04,0.079
ARG,Argentine,South America,2020-04-05,0.079
ARG,Argentine,South America,2020-04-06,0.079
ARG,Argentine,South America,2020-04-07,0.092
ARG,Argentine,South America,2020-04-08,0.111
ARG,Argentine,South America,2020-04-09,0.114
ARG,Argentine,South America,2020-04-10,0.136
ARG,Argentine,South America,2020-04-11,0.126
ARG,Argentine,South America,2020-04-12,0.145
ARG,Argentine,South America,2020-04-13,0.155
ARG,Argentine,South America,2020-04-14,0.145
ARG,Argentine,South America,2020-04-15,0.152
ARG,Argentine,South America,2020-04-16,0.136
ARG,Argentine,South America,2020-04-17,0.13
ARG,Argentine,South America,2020-04-18,0.145
ARG,Argentine,South America,2020-04-19,0.133
ARG,Argentine,South America,2020-04-20,0.123
ARG,Argentine,South America,2020-04-21,0.142
ARG,Argentine,South America,2020-04-22,0.13
ARG,Argentine,South America,2020-04-23,0.158
ARG,Argentine,South America,2020-04-24,0.168
ARG,Argentine,South America,2020-04-25,0.177
ARG,Argentine,South America,2020-04-26,0.19
ARG,Argentine,South America,2020-04-27,0.193
ARG,Argentine,South America,2020-04-28,0.19
ARG,Argentine,South America,2020-04-29,0.196
ARG,Argentine,South America,2020-04-30,0.168
ARG,Argentine,South America,2020-05-01,0.155
ARG,Argentine,South America,2020-05-02,0.164
ARG,Argentine,South America,2020-05-03,0.171
ARG,Argentine,South America,2020-05-04,0.199
ARG,Argentine,South America,2020-05-05,0.18
ARG,Argentine,South America,2020-05-06,0.186
ARG,Argentine,South America,2020-05-07,0.202
ARG,Argentine,South America,2020-05-08,0.215
ARG,Argentine,South America,2020-05-09,0.199
ARG,Argentine,South America,2020-05-10,0.186
ARG,Argentine,South America,2020-05-11,0.171
ARG,Argentine,South America,2020-05-12,0.174
ARG,Argentine,South America,2020-05-13,0.177
ARG,Argentine,South America,2020-05-14,0.224
ARG,Argentine,South America,2020-05-15,0.199
ARG,Argentine,South America,2020-05-16,0.199
ARG,Argentine,South America,2020-05-17,0.215
ARG,Argentine,South America,2020-05-18,0.215
ARG,Argentine,South America,2020-05-19,0.234
ARG,Argentine,South America,2020-05-20,0.234
ARG,Argentine,South America,2020-05-21,0.199
ARG,Argentine,South America,2020-05-22,0.243
ARG,Argentine,South America,2020-05-23,0.259
