iso_code,continent,date,total_deaths
AFG,Asia,2021-07-11,5561.0
ALB,Europe,2021-07-11,2456.0
DZA,Africa,2021-07-11,3836.0
AGO,Africa,2021-07-11,935.0
ARG,South America,2021-07-11,98781.0
ARM,Asia,2021-07-11,4544.0
AUS,Oceania,2021-07-11,911.0
AUT,Europe,2021-07-11,10723.0
AZE,Asia,2021-07-11,4984.0
BHS,North America,2021-07-11,252.0
BGD,Asia,2021-07-11,16419.0
BLR,Europe,2021-07-11,3257.0
BEL,Europe,2021-07-11,25198.0
BLZ,North America,2021-07-11,330.0
BEN,Africa,2021-07-11,105.0
BTN,Asia,2021-07-11,1.0
BOL,South America,2021-07-11,17219.0
BIH,Europe,2021-07-11,9656.0
BWA,Africa,2021-07-11,1202.0
BRA,South America,2021-07-11,533488.0
BRN,Asia,2021-07-11,3.0
BGR,Europe,2021-07-11,18140.0
BFA,Africa,2021-07-11,168.0
BDI,Africa,2021-07-11,8.0
KHM,Asia,2021-07-11,902.0
CMR,Africa,2021-07-11,1324.0
CAN,North America,2021-07-11,26396.0
CAF,Africa,2021-07-11,98.0
TCD,Africa,2021-07-11,174.0
CHL,South America,2021-07-11,33877.0
CHN,Asia,2021-07-11,4636.0
COL,South America,2021-07-11,111731.0
COG,Africa,2021-07-11,167.0
CRI,North America,2021-07-11,4773.0
CIV,Africa,2021-07-11,318.0
HRV,Europe,2021-07-11,8227.0
CUB,North America,2021-07-11,1537.0
CYP,Europe,2021-07-11,380.0
CZE,Europe,2021-07-11,30331.0
COD,Africa,2021-07-11,980.0
DNK,Europe,2021-07-11,2540.0
DJI,Africa,2021-07-11,155.0
DOM,North America,2021-07-11,3892.0
ECU,South America,2021-07-11,21830.0
EGY,Africa,2021-07-11,16396.0
SLV,North America,2021-07-11,2445.0
GNQ,Africa,2021-07-11,122.0
ERI,Africa,2021-07-11,29.0
EST,Europe,2021-07-11,1270.0
SWZ,Africa,2021-07-11,692.0
ETH,Africa,2021-07-11,4343.0
FJI,Oceania,2021-07-11,55.0
FIN,Europe,2021-07-11,976.0
FRA,Europe,2021-07-11,111515.0
GAB,Africa,2021-07-11,162.0
GMB,Africa,2021-07-11,185.0
GEO,Asia,2021-07-11,5452.0
DEU,Europe,2021-07-11,91241.0
GHA,Africa,2021-07-11,801.0
GRC,Europe,2021-07-11,12768.0
GTM,North America,2021-07-11,9713.0
GIN,Africa,2021-07-11,177.0
GNB,Africa,2021-07-11,70.0
GUY,South America,2021-07-11,492.0
HTI,North America,2021-07-11,471.0
HND,North America,2021-07-11,7259.0
HUN,Europe,2021-07-11,30004.0
ISL,Europe,2021-07-11,29.0
IND,Asia,2021-07-11,408764.0
IDN,Asia,2021-07-11,66464.0
IRN,Asia,2021-07-11,85859.0
IRQ,Asia,2021-07-11,17548.0
IRL,Europe,2021-07-11,5006.0
ISR,Asia,2021-07-11,6438.0
