jour,n_dose1,n_dose2,total_dose,roll_dose
2020-12-27,21,0,21,NA
2020-12-28,77,0,77,NA
2020-12-29,108,0,108,NA
2020-12-30,125,0,125,NA
2020-12-31,88,0,88,NA
2021-01-01,76,0,76,NA
2021-01-02,93,0,93,84
2021-01-03,99,0,99,95.14285714285714
2021-01-04,1483,0,1483,296
2021-01-05,5436,0,5436,1057.142857142857
2021-01-06,11338,0,11338,2659
2021-01-07,28709,0,28709,6747.714285714285
2021-01-08,36378,0,36378,11933.714285714286
2021-01-09,10967,0,10967,13487.142857142857
2021-01-10,5653,0,5653,14280.57142857143
2021-01-11,39183,0,39183,19666.285714285714
2021-01-12,61110,0,61110,27619.714285714286
2021-01-13,64035,0,64035,35147.857142857145
2021-01-14,80168,0,80168,42499.142857142855
2021-01-15,67714,0,67714,46975.71428571428
2021-01-16,19783,78,19861,48246.28571428572
2021-01-17,10492,42,10534,48943.57142857143
2021-01-18,84602,162,84764,55455.142857142855
2021-01-19,128747,125,128872,65135.42857142857
2021-01-20,135570,157,135727,75377.14285714286
2021-01-21,155829,135,155964,86205.14285714286
2021-01-22,119084,162,119246,93566.85714285714
2021-01-23,37906,50,37956,96151.85714285714
2021-01-24,9387,27,9414,95991.85714285714
2021-01-25,77063,1219,78282,95065.85714285714
2021-01-26,99010,3112,102122,91244.42857142857
2021-01-27,105849,5596,111445,87775.57142857143
2021-01-28,122659,14362,137021,85069.42857142857
2021-01-29,91070,17283,108353,83513.28571428571
2021-01-30,28714,4225,32939,82796.57142857143
2021-01-31,4884,1679,6563,82389.28571428571
2021-02-01,51702,21127,72829,81610.28571428571
2021-02-02,70824,34561,105385,82076.42857142857
2021-02-03,71122,36961,108083,81596.14285714286
2021-02-04,80755,50056,130811,80709
2021-02-05,67275,45342,112617,81318.14285714286
2021-02-06,21390,10401,31791,81154.14285714286
2021-02-07,4830,5042,9872,81626.85714285714
2021-02-08,45982,45985,91967,84360.85714285714
2021-02-09,64934,72412,137346,88926.71428571429
2021-02-10,69426,76747,146173,94368.14285714286
2021-02-11,85857,99153,185010,102110.85714285714
2021-02-12,77924,74224,152148,107758.14285714286
2021-02-13,21735,19492,41227,109106.14285714286
2021-02-14,4603,7191,11794,109380.71428571429
2021-02-15,37180,76516,113696,112484.85714285714
2021-02-16,49332,100746,150078,114303.71428571429
2021-02-17,49449,102993,152442,115199.28571428571
2021-02-18,68239,118533,186772,115451
2021-02-19,64013,90760,154773,115826
2021-02-20,18035,28429,46464,116574.14285714286
2021-02-21,2873,6372,9245,116210
2021-02-22,36614,73151,109765,115648.42857142857
2021-02-23,52758,84065,136823,113754.85714285714
2021-02-24,58270,81123,139393,111890.71428571429
2021-02-25,98985,91400,190385,112406.85714285714
2021-02-26,112017,71015,183032,116443.85714285714
2021-02-27,51302,21981,73283,120275.14285714286
2021-02-28,5702,4414,10116,120399.57142857143
2021-03-01,63838,52792,116630,121380.28571428571
2021-03-02,99579,66253,165832,125524.42857142857
2021-03-03,114078,65553,179631,131272.7142857143
2021-03-04,161056,68886,229942,136923.7142857143
2021-03-05,198522,63365,261887,148188.7142857143
2021-03-06,205886,17822,223708,169678
2021-03-07,120073,5471,125544,186167.7142857143
2021-03-08,105260,50800,156060,191800.57142857142
2021-03-09,170228,56780,227008,200540
2021-03-10,176276,57218,233494,208234.7142857143
2021-03-11,240197,63111,303308,218715.57142857142
2021-03-12,291964,53520,345484,230658
2021-03-13,229269,15309,244578,233639.42857142858
2021-03-14,62357,3437,65794,225103.7142857143
2021-03-15,156425,32649,189074,229820
2021-03-16,139624,39529,179153,222983.57142857142
2021-03-17,148455,38795,187250,216377.2857142857
2021-03-18,165529,44634,210163,203070.85714285713
2021-03-19,227447,37481,264928,191562.85714285713
2021-03-20,165060,11784,176844,181886.57142857142
2021-03-21,48824,2627,51451,179837.57142857142
2021-03-22,167659,34294,201953,181677.42857142858
2021-03-23,247605,42412,290017,197515.14285714287
2021-03-24,254185,43855,298040,213342.2857142857
2021-03-25,338900,44764,383664,238128.14285714287
2021-03-26,356264,41914,398178,257163.85714285713
2021-03-27,193685,16651,210336,261948.42857142858
2021-03-28,58444,3732,62176,263480.5714285714
2021-03-29,201014,54302,255316,271103.85714285716
2021-03-30,282856,69704,352560,280038.5714285714
2021-03-31,260426,72941,333367,285085.28571428574
2021-04-01,311322,87849,399171,287300.5714285714
2021-04-02,278799,92152,370951,283411
2021-04-03,139561,61869,201430,282138.71428571426
2021-04-04,44975,18667,63642,282348.14285714284
2021-04-05,58924,11008,69932,255864.7142857143
2021-04-06,214142,107894,322036,251504.14285714287
2021-04-07,257076,115480,372556,257102.57142857142
2021-04-08,334045,121444,455489,265148
2021-04-09,406591,116515,523106,286884.4285714286
2021-04-10,210741,82758,293499,300037.14285714284
2021-04-11,55003,34599,89602,303745.71428571426
2021-04-12,234509,115241,349750,343719.71428571426
2021-04-13,306297,144993,451290,362184.5714285714
2021-04-14,290746,139432,430178,370416.28571428574
2021-04-15,332910,147884,480794,374031.28571428574
2021-04-16,336341,145794,482135,368178.28571428574
2021-04-17,186877,90270,277147,365842.28571428574
2021-04-18,50571,35428,85999,365327.5714285714
2021-04-19,203211,138411,341622,364166.4285714286
2021-04-20,251442,170763,422205,360011.4285714286
2021-04-21,250095,168831,418926,358404
2021-04-22,284185,188297,472482,357216.5714285714
2021-04-23,291958,183300,475258,356234.14285714284
2021-04-24,188534,111588,300122,359516.28571428574
2021-04-25,68494,38883,107377,362570.28571428574
2021-04-26,218472,156139,374611,367283
2021-04-27,281589,187555,469144,373988.5714285714
2021-04-28,296629,183236,479865,382694.14285714284
2021-04-29,353713,196173,549886,393751.85714285716
2021-04-30,368810,184877,553687,404956
2021-05-01,164461,52546,217007,393082.4285714286
2021-05-02,90364,37837,128201,396057.28571428574
2021-05-03,284809,169689,454498,407469.71428571426
2021-05-04,311778,224363,536141,417040.71428571426
2021-05-05,321922,224571,546493,426559
2021-05-06,374742,239253,613995,435717.4285714286
2021-05-07,368633,257395,626028,446051.85714285716
2021-05-08,219377,66943,286320,455953.71428571426
2021-05-09,128480,46769,175249,462674.85714285716
2021-05-10,307867,229069,536936,474451.71428571426
2021-05-11,399328,258234,657562,491797.5714285714
2021-05-12,428462,233286,661748,508262.5714285714
2021-05-13,334239,56911,391150,476427.5714285714
2021-05-14,449146,167614,616760,475103.5714285714
2021-05-15,370376,94048,464424,500547
2021-05-16,200851,20838,221689,507181.28571428574
2021-05-17,372130,149212,521342,504953.5714285714
2021-05-18,454286,153237,607523,497805.14285714284
2021-05-19,462465,145417,607882,490110
2021-05-20,501114,160432,661546,528738
2021-05-21,484137,174630,658767,534739
2021-05-22,344351,79934,424285,529004.8571428572
2021-05-23,160181,14454,174635,522282.85714285716
2021-05-24,259947,33277,293224,489694.5714285714
2021-05-25,395291,189394,584685,486432
2021-05-26,408043,188256,596299,484777.28571428574
2021-05-27,444951,218792,663743,485091.14285714284
2021-05-28,424397,259780,684177,488721.14285714284
2021-05-29,295936,149519,445455,491745.4285714286
2021-05-30,105294,32652,137946,486504.14285714284
2021-05-31,353098,203684,556782,524155.28571428574
2021-06-01,415606,251854,667460,535980.2857142857
2021-06-02,403645,231145,634790,541479
2021-06-03,452917,258869,711786,548342.2857142857
2021-06-04,443600,305043,748643,557551.7142857143
2021-06-05,299291,189169,488460,563695.2857142857
2021-06-06,129642,49167,178809,569532.8571428572
2021-06-07,329808,262635,592443,574627.2857142857
2021-06-08,383074,291496,674570,575643
2021-06-09,374538,276129,650667,577911.1428571428
2021-06-10,388852,289666,678518,573158.5714285715
2021-06-11,376608,357763,734371,571119.7142857143
2021-06-12,277160,211649,488809,571169.5714285715
2021-06-13,101766,74140,175906,570754.8571428572
2021-06-14,231357,356193,587550,570055.8571428572
2021-06-15,295899,386344,682243,571152
2021-06-16,304294,358060,662354,572821.5714285715
2021-06-17,308249,372444,680693,573132.2857142857
2021-06-18,309641,443064,752705,575751.4285714285
2021-06-19,219118,274155,493273,576389.1428571428
2021-06-20,70632,102701,173333,576021.5714285715
2021-06-21,186952,402381,589333,576276.2857142857
2021-06-22,214539,467629,682168,576265.5714285715
2021-06-23,225107,440234,665341,576692.2857142857
2021-06-24,231332,409635,640967,571017.1428571428
2021-06-25,218764,522695,741459,569410.5714285715
2021-06-26,149129,371089,520218,573259.8571428572
2021-06-27,54031,156501,210532,578574
2021-06-28,147439,453551,600990,580239.2857142857
2021-06-29,175007,505820,680827,580047.7142857143
2021-06-30,194596,481390,675986,581568.4285714285
2021-07-01,207675,458105,665780,585113.1428571428
2021-07-02,207092,520835,727927,583180
2021-07-03,136883,369135,506018,581151.4285714285
