jour,vaccin_name,roll
2021-01-02,Pfizer,84
2021-01-02,Moderna,0
2021-01-02,AstraZeneca,0
2021-01-02,Janssen,0
2021-01-03,Pfizer,95.14285714285714
2021-01-03,Moderna,0
2021-01-03,AstraZeneca,0
2021-01-03,Janssen,0
2021-01-04,Pfizer,296
2021-01-04,Moderna,0
2021-01-04,AstraZeneca,0
2021-01-04,Janssen,0
2021-01-05,Pfizer,1057.142857142857
2021-01-05,Moderna,0
2021-01-05,AstraZeneca,0
2021-01-05,Janssen,0
2021-01-06,Pfizer,2659
2021-01-06,Moderna,0
2021-01-06,AstraZeneca,0
2021-01-06,Janssen,0
2021-01-07,Pfizer,6747.714285714285
2021-01-07,Moderna,0
2021-01-07,AstraZeneca,0
2021-01-07,Janssen,0
2021-01-08,Pfizer,11933.714285714286
2021-01-08,Moderna,0
2021-01-08,AstraZeneca,0
2021-01-08,Janssen,0
2021-01-09,Pfizer,13487.142857142857
2021-01-09,Moderna,0
2021-01-09,AstraZeneca,0
2021-01-09,Janssen,0
2021-01-10,Pfizer,14280.57142857143
2021-01-10,Moderna,0
2021-01-10,AstraZeneca,0
2021-01-10,Janssen,0
2021-01-11,Pfizer,19666.285714285714
2021-01-11,Moderna,0
2021-01-11,AstraZeneca,0
2021-01-11,Janssen,0
2021-01-12,Pfizer,27619.714285714286
2021-01-12,Moderna,0
2021-01-12,AstraZeneca,0
2021-01-12,Janssen,0
2021-01-13,Pfizer,35147.857142857145
2021-01-13,Moderna,0
2021-01-13,AstraZeneca,0
2021-01-13,Janssen,0
2021-01-14,Pfizer,42477.142857142855
2021-01-14,Moderna,22
2021-01-14,AstraZeneca,0
2021-01-14,Janssen,0
2021-01-15,Pfizer,46922.57142857143
2021-01-15,Moderna,53.142857142857146
2021-01-15,AstraZeneca,0
2021-01-15,Janssen,0
2021-01-16,Pfizer,48155.57142857143
2021-01-16,Moderna,79.57142857142857
2021-01-16,AstraZeneca,0
2021-01-16,Janssen,0
2021-01-17,Pfizer,48846.28571428572
2021-01-17,Moderna,80.14285714285714
2021-01-17,AstraZeneca,0
2021-01-17,Janssen,0
2021-01-18,Pfizer,54918
2021-01-18,Moderna,496.85714285714283
2021-01-18,AstraZeneca,0
2021-01-18,Janssen,0
2021-01-19,Pfizer,63934
2021-01-19,Moderna,1143.2857142857142
2021-01-19,AstraZeneca,0
2021-01-19,Janssen,0
2021-01-20,Pfizer,73449.85714285714
2021-01-20,Moderna,1846.7142857142858
2021-01-20,AstraZeneca,0
2021-01-20,Janssen,0
2021-01-21,Pfizer,83547.42857142857
2021-01-21,Moderna,2557.8571428571427
2021-01-21,AstraZeneca,0
2021-01-21,Janssen,0
2021-01-22,Pfizer,90219.28571428571
2021-01-22,Moderna,3224.5714285714284
2021-01-22,AstraZeneca,0
2021-01-22,Janssen,0
2021-01-23,Pfizer,92586.57142857143
2021-01-23,Moderna,3446.285714285714
2021-01-23,AstraZeneca,0
2021-01-23,Janssen,0
2021-01-24,Pfizer,92414.71428571429
2021-01-24,Moderna,3460.285714285714
2021-01-24,AstraZeneca,0
2021-01-24,Janssen,0
2021-01-25,Pfizer,91234.28571428571
2021-01-25,Moderna,3563.714285714286
2021-01-25,AstraZeneca,0
2021-01-25,Janssen,0
2021-01-26,Pfizer,87096
2021-01-26,Moderna,3453.8571428571427
2021-01-26,AstraZeneca,0
2021-01-26,Janssen,0
2021-01-27,Pfizer,83061.28571428571
2021-01-27,Moderna,3242.714285714286
2021-01-27,AstraZeneca,0
2021-01-27,Janssen,0
2021-01-28,Pfizer,78553.28571428571
2021-01-28,Moderna,3012.1428571428573
2021-01-28,AstraZeneca,0
2021-01-28,Janssen,0
2021-01-29,Pfizer,74808.71428571429
2021-01-29,Moderna,2754.714285714286
2021-01-29,AstraZeneca,0
2021-01-29,Janssen,0
2021-01-30,Pfizer,73591.71428571429
2021-01-30,Moderna,2658.5714285714284
2021-01-30,AstraZeneca,0
2021-01-30,Janssen,0
2021-01-31,Pfizer,72963
2021-01-31,Moderna,2644
2021-01-31,AstraZeneca,0
2021-01-31,Janssen,0
2021-02-01,Pfizer,69393.85714285714
2021-02-01,Moderna,2590.1428571428573
2021-02-01,AstraZeneca,0
2021-02-01,Janssen,0
2021-02-02,Pfizer,65288.142857142855
2021-02-02,Moderna,2669.285714285714
2021-02-02,AstraZeneca,0
2021-02-02,Janssen,0
2021-02-03,Pfizer,60100.28571428572
2021-02-03,Moderna,2896.1428571428573
2021-02-03,AstraZeneca,0
2021-02-03,Janssen,0
2021-02-04,Pfizer,53940.142857142855
2021-02-04,Moderna,3070
2021-02-04,AstraZeneca,0
2021-02-04,Janssen,0
2021-02-05,Pfizer,50321
2021-02-05,Moderna,3289.8571428571427
2021-02-05,AstraZeneca,0
2021-02-05,Janssen,0
2021-02-06,Pfizer,49100.142857142855
2021-02-06,Moderna,3413.8571428571427
2021-02-06,AstraZeneca,50.57142857142857
2021-02-06,Janssen,0
2021-02-07,Pfizer,48893.71428571428
2021-02-07,Moderna,3419.8571428571427
2021-02-07,AstraZeneca,243.28571428571428
2021-02-07,Janssen,0
2021-02-08,Pfizer,47105.28571428572
2021-02-08,Moderna,4014.8571428571427
2021-02-08,AstraZeneca,619.5714285714286
2021-02-08,Janssen,0
2021-02-09,Pfizer,44748.57142857143
2021-02-09,Moderna,4579.857142857143
2021-02-09,AstraZeneca,1569.857142857143
2021-02-09,Janssen,0
